Bigram,Value
feature films,114
fiction films,77
films video,73
united states,54
drama feature,53
film adaptations,51
films fiction,44
films feature,41
comedy films,35
new york,35
man woman,30
states drama,30
woman relationships,30
fictitious character,28
los angeles,28
films comedy,22
california los,21
1939 1945,20
action and,20
adventure films,20
and adventure,20
films film,20
motion pictures,20
1961 1975,18
japan drama,18
drama man,17
war 1939,17
world war,17
state new,16
york state,16
character drama,15
drama chinese,15
angeles drama,14
china drama,14
relationships drama,14
science fiction,14
war films,14
vietnam war,13
war 1961,13
1975 drama,11
conduct of,11
films for,11
high school,11
of life,11
school students,11
fathers and,10
films action,10
films war,10
thrillers motion,10
york drama,10
