Country,Value
feature films (114),114
fiction films(77),77
films video(73),73
united states(54),54
drama feature(53),53
film adaptations(51),51
films fiction(44),44
films feature(41),41
comedy films(35),35
new york(35),35
man woman(30),30
states drama(30),30
woman relationships(30),30
fictitious character(28),28
los angeles(28),28
films comedy(22),22
california los(21),21
1939 1945 (20),20
action and(20),20
adventure films(20),20
and adventure(20),20
films film(20),20
motion pictures(20),20
1961 1975 (18),18
japan drama(18),18
drama man(17),17
war 1939(17),17
world war(17),17
state new(16),16
york state(16),16
character drama(15),15
drama chinese(15),15
